ID,Year,Week,Week Start Date,Week End Date,Positive
196,2019,27,1/7/2019,7/7/2019,8
197,2019,28,8/7/2019,14/07/2019,0
198,2019,29,15/07/2019,21/07/2019,0
199,2019,30,22/07/2019,28/07/2019,0
200,2019,31,29/07/2019,4/8/2019,0
201,2019,32,5/8/2019,11/8/2019,0
202,2019,33,12/8/2019,18/08/2019,6
203,2019,34,19/08/2019,25/08/2019,0
204,2019,35,26/08/2019,1/9/2019,0
205,2019,36,2/9/2019,8/9/2019,0
206,2019,37,9/9/2019,15/09/2019,0
207,2019,38,16/09/2019,22/09/2019,0
208,2019,39,23/09/2019,29/09/2019,0
209,2019,40,30/09/2019,6/10/2019,8
210,2019,41,7/10/2019,13/10/2019,0
211,2019,42,14/10/2019,20/10/2019,2
212,2019,43,21/10/2019,27/10/2019,6
213,2019,44,28/10/2019,3/11/2019,21
214,2019,45,4/11/2019,10/11/2019,2
215,2019,46,11/11/2019,17/11/2019,7
216,2019,47,18/11/2019,24/11/2019,13
217,2019,48,25/11/2019,1/12/2019,6
218,2019,49,2/12/2019,8/12/2019,5
219,2019,50,9/12/2019,15/12/2019,27
220,2019,51,16/12/2019,22/12/2019,34
221,2019,52,23/12/2019,29/12/2019,95
222,2020,1,30/12/2019,5/1/2020,52
223,2020,2,6/1/2020,12/1/2020,66
224,2020,3,13/01/2020,19/01/2020,140
225,2020,4,20/01/2020,26/01/2020,56
226,2020,5,27/01/2020,2/2/2020,83
227,2020,6,3/2/2020,9/2/2020,28
228,2020,7,10/2/2020,16/02/2020,55
229,2020,8,17/02/2020,23/02/2020,51
230,2020,9,24/02/2020,1/3/2020,37
231,2020,10,2/3/2020,8/3/2020,0
232,2020,11,9/3/2020,16/03/2020,0
